frame,cx,cy,x,y,w,h,yolo_conf,group_id
262,159.0,193.5,153.0,188.0,12.0,11.0,,4.0
263,159.0,194.5,153.0,189.0,12.0,11.0,,4.0
264,157.0,195.5,151.0,190.0,12.0,11.0,,4.0
265,153.5,198.0,147.0,192.0,13.0,12.0,,4.0
266,156.0,200.5,150.0,195.0,12.0,11.0,,4.0
267,149.5,208.0,144.0,203.0,11.0,10.0,,4.0
268,147.0,209.5,141.0,204.0,12.0,11.0,,4.0
269,144.0,209.5,138.0,204.0,12.0,11.0,,4.0
270,141.0,210.5,135.0,205.0,12.0,11.0,,4.0
271,138.0,210.5,132.0,205.0,12.0,11.0,,4.0
272,137.0,210.5,131.0,205.0,12.0,11.0,0.508,4.0
273,136.0,210.5,130.0,205.0,12.0,11.0,,4.0
274,134.5,213.5,128.0,208.0,13.0,11.0,0.626,4.0
275,133.0,214.0,127.0,208.0,12.0,12.0,0.525,4.0
276,130.0,214.0,124.0,208.0,12.0,12.0,,4.0
277,124.0,212.5,118.0,207.0,12.0,11.0,0.747,4.0
278,120.0,210.5,114.0,205.0,12.0,11.0,,4.0
279,115.0,206.0,108.0,200.0,14.0,12.0,0.763,4.0
280,113.5,202.0,105.0,196.0,17.0,12.0,0.572,4.0
281,110.5,198.0,102.0,192.0,17.0,12.0,,4.0
282,105.0,195.5,98.0,190.0,14.0,11.0,,4.0
283,102.0,191.5,95.0,186.0,14.0,11.0,0.572,4.0
284,100.0,189.5,93.0,184.0,14.0,11.0,,4.0
285,96.0,188.0,89.0,182.0,14.0,12.0,,4.0
286,92.0,186.0,85.0,180.0,14.0,12.0,0.564,4.0
287,89.0,184.0,82.0,178.0,14.0,12.0,0.605,4.0
288,85.5,184.0,79.0,178.0,13.0,12.0,0.534,4.0
289,82.5,184.0,76.0,178.0,13.0,12.0,,4.0
290,78.5,185.0,72.0,179.0,13.0,12.0,,4.0
291,76.0,187.0,69.0,181.0,14.0,12.0,,4.0
292,72.0,187.0,65.0,181.0,14.0,12.0,,4.0
293,69.0,189.0,62.0,183.0,14.0,12.0,0.576,4.0
294,65.0,191.5,58.0,186.0,14.0,11.0,0.563,4.0
295,61.0,194.5,54.0,189.0,14.0,11.0,,4.0
296,58.5,198.0,52.0,191.0,13.0,14.0,0.67,4.0
297,54.5,203.0,48.0,196.0,13.0,14.0,0.546,4.0
298,52.5,207.0,46.0,200.0,13.0,14.0,,4.0
299,47.5,213.0,41.0,206.0,13.0,14.0,,4.0
300,44.5,220.0,38.0,213.0,13.0,14.0,,4.0
301,42.0,226.5,35.0,219.0,14.0,15.0,,4.0
302,36.0,232.5,29.0,225.0,14.0,15.0,,4.0
303,34.0,239.5,27.0,232.0,14.0,15.0,0.688,4.0
304,31.0,248.0,23.0,240.0,16.0,16.0,0.575,4.0
305,29.0,255.0,21.0,247.0,16.0,16.0,,4.0
306,29.5,248.5,22.0,242.0,15.0,13.0,0.631,4.0
307,30.5,243.0,23.0,236.0,15.0,14.0,0.508,4.0
308,32.5,237.0,25.0,230.0,15.0,14.0,0.718,4.0
309,34.0,232.0,28.0,225.0,12.0,14.0,0.666,4.0
310,35.5,227.5,29.0,220.0,13.0,15.0,0.663,4.0
311,37.5,223.5,31.0,216.0,13.0,15.0,,4.0
312,39.5,219.0,34.0,213.0,11.0,12.0,,4.0
313,40.5,216.0,35.0,210.0,11.0,12.0,0.592,4.0
314,39.5,213.5,33.0,206.0,13.0,15.0,0.749,4.0
315,39.0,211.5,32.0,204.0,14.0,15.0,0.68,4.0
316,37.5,210.0,31.0,202.0,13.0,16.0,0.684,4.0
317,36.0,207.5,28.0,200.0,16.0,15.0,0.721,4.0
318,32.0,204.5,25.0,198.0,14.0,13.0,0.666,4.0
319,30.0,201.5,23.0,195.0,14.0,13.0,0.739,4.0
320,28.5,198.5,21.0,192.0,15.0,13.0,0.762,4.0
321,25.5,196.5,18.0,190.0,15.0,13.0,0.788,4.0
322,23.5,195.0,16.0,188.0,15.0,14.0,0.837,4.0
323,20.5,194.0,13.0,187.0,15.0,14.0,0.732,4.0
324,18.5,194.0,11.0,187.0,15.0,14.0,0.75,4.0
