frame,cx,cy,x,y,w,h,yolo_conf,group_id
421,133.5,247.0,128.0,239.0,11.0,16.0,0.535,4.0
422,139.5,253.0,134.0,245.0,11.0,16.0,,4.0
423,144.5,257.5,139.0,249.0,11.0,17.0,,4.0
424,159.0,236.0,153.0,228.0,12.0,16.0,,4.0
425,163.0,228.0,157.0,220.0,12.0,16.0,,4.0
426,166.0,222.0,160.0,214.0,12.0,16.0,0.584,4.0
427,168.5,217.0,162.0,210.0,13.0,14.0,0.56,4.0
428,170.5,212.0,164.0,205.0,13.0,14.0,,4.0
429,170.5,209.0,164.0,202.0,13.0,14.0,,4.0
430,171.5,209.0,165.0,202.0,13.0,14.0,,4.0
431,153.0,184.0,144.0,176.0,18.0,16.0,,4.0
432,157.0,185.0,148.0,177.0,18.0,16.0,,4.0
433,161.0,186.0,152.0,178.0,18.0,16.0,,4.0
434,165.0,186.0,156.0,178.0,18.0,16.0,,4.0
435,167.0,188.0,158.0,180.0,18.0,16.0,,4.0
436,171.0,187.0,162.0,179.0,18.0,16.0,,4.0
437,175.0,186.0,166.0,178.0,18.0,16.0,,4.0
438,179.0,183.0,170.0,175.0,18.0,16.0,,4.0
439,184.0,182.0,175.0,174.0,18.0,16.0,,4.0
440,189.0,182.0,180.0,174.0,18.0,16.0,,4.0
441,193.0,182.0,184.0,174.0,18.0,16.0,,4.0
442,197.0,183.0,188.0,175.0,18.0,16.0,,4.0
443,202.0,185.0,193.0,177.0,18.0,16.0,,4.0
444,204.0,186.0,195.0,178.0,18.0,16.0,,4.0
445,207.0,186.0,198.0,178.0,18.0,16.0,,4.0
446,209.0,186.0,200.0,178.0,18.0,16.0,,4.0
447,211.0,185.0,202.0,177.0,18.0,16.0,,4.0
448,214.5,181.5,205.0,173.0,19.0,17.0,,4.0
449,217.0,171.0,208.0,163.0,18.0,16.0,,4.0
450,219.0,157.0,210.0,149.0,18.0,16.0,,4.0
451,220.0,155.0,211.0,147.0,18.0,16.0,,4.0
452,221.0,153.0,212.0,145.0,18.0,16.0,0.523,4.0
453,221.5,150.5,213.0,142.0,17.0,17.0,0.818,4.0
454,223.5,146.5,214.0,137.0,19.0,19.0,0.818,4.0
455,225.0,141.5,215.0,132.0,20.0,19.0,0.806,4.0
456,225.0,135.0,216.0,125.0,18.0,20.0,0.798,4.0
457,224.0,127.5,215.0,118.0,18.0,19.0,0.831,4.0
458,223.5,121.0,215.0,111.0,17.0,20.0,0.847,4.0
459,223.0,112.5,214.0,102.0,18.0,21.0,0.861,4.0
460,220.5,104.5,212.0,94.0,17.0,21.0,0.853,4.0
461,218.0,96.5,209.0,86.0,18.0,21.0,0.85,4.0
462,215.5,89.5,207.0,79.0,17.0,21.0,0.815,4.0
463,212.5,83.5,204.0,74.0,17.0,19.0,0.831,4.0
