frame,cx,cy,x,y,w,h,conf
525,240.5,143.0,230,133,21,20,0.793
526,240.5,143.0,230,133,21,20,0.79
527,240.5,143.0,230,133,21,20,0.79
528,240.5,143.0,230,133,21,20,0.785
529,240.5,143.0,230,133,21,20,0.783
530,240.5,143.0,230,133,21,20,0.784
531,240.5,143.0,230,133,21,20,0.787
532,240.5,143.0,230,133,21,20,0.788
533,240.5,143.0,230,133,21,20,0.787
534,240.5,143.0,230,133,21,20,0.788
535,240.5,143.0,230,133,21,20,0.79
536,240.5,143.0,230,133,21,20,0.792
537,241.0,143.0,230,133,22,20,0.79
538,241.0,143.5,230,133,22,21,0.794
539,241.0,143.5,230,133,22,21,0.794
540,241.0,143.5,230,133,22,21,0.811
541,241.0,143.5,230,133,22,21,0.812
542,241.0,143.5,230,133,22,21,0.811
543,241.0,143.5,230,133,22,21,0.81
544,241.0,143.5,230,133,22,21,0.809
545,241.0,143.5,230,133,22,21,0.807
546,241.0,143.5,230,133,22,21,0.808
547,241.0,143.5,230,133,22,21,0.809
548,241.0,143.5,230,133,22,21,0.811
549,241.0,143.5,230,133,22,21,0.812
550,241.0,143.5,230,133,22,21,0.813
551,241.0,143.5,230,133,22,21,0.813
552,241.0,143.5,230,133,22,21,0.807
553,241.0,143.5,230,133,22,21,0.806
554,241.0,143.5,230,133,22,21,0.805
555,241.0,143.5,230,133,22,21,0.805
556,241.0,143.5,230,133,22,21,0.805
557,241.0,143.5,230,133,22,21,0.805
558,241.0,143.5,230,133,22,21,0.805
559,241.0,143.5,230,133,22,21,0.804
560,241.0,143.5,230,133,22,21,0.803
561,241.0,143.5,230,133,22,21,0.803
562,241.0,143.5,230,133,22,21,0.802
563,241.0,143.5,230,133,22,21,0.801
564,240.5,143.0,230,133,21,20,0.807
565,240.5,143.0,230,133,21,20,0.806
566,240.5,143.0,230,133,21,20,0.805
567,241.0,143.0,230,133,22,20,0.804
568,241.0,143.5,230,133,22,21,0.803
569,241.0,143.5,230,133,22,21,0.804
570,241.0,143.5,230,133,22,21,0.81
571,241.0,143.5,230,133,22,21,0.808
572,241.0,143.5,230,133,22,21,0.809
573,241.0,143.5,230,133,22,21,0.808
574,241.0,143.5,230,133,22,21,0.809
575,241.0,143.5,230,133,22,21,0.809
576,241.0,143.0,230,132,22,22,0.816
577,241.0,143.0,230,132,22,22,0.814
578,241.0,143.0,230,132,22,22,0.814
579,241.0,143.0,230,132,22,22,0.813
580,241.0,143.0,230,132,22,22,0.814
581,241.0,143.0,230,132,22,22,0.814
582,241.0,143.0,230,132,22,22,0.817
583,241.0,143.0,230,132,22,22,0.817
584,241.0,143.0,230,132,22,22,0.816
585,241.0,143.0,230,132,22,22,0.817
586,241.0,143.0,230,132,22,22,0.816
587,241.0,143.0,230,132,22,22,0.815
588,241.0,143.5,230,133,22,21,0.814
589,241.0,143.5,230,133,22,21,0.813
590,241.0,143.5,230,133,22,21,0.81
591,241.0,143.0,230,132,22,22,0.813
592,241.0,143.0,230,132,22,22,0.815
593,241.0,143.0,230,132,22,22,0.816
594,241.0,143.0,230,132,22,22,0.817
595,241.0,143.0,230,132,22,22,0.818
596,241.0,143.0,230,132,22,22,0.817
597,241.0,143.0,230,132,22,22,0.816
598,241.0,143.0,230,132,22,22,0.816
599,241.0,143.0,230,132,22,22,0.816
600,240.5,143.5,230,133,21,21,0.816
601,240.5,143.5,230,133,21,21,0.818
602,240.5,143.5,230,133,21,21,0.819
603,240.5,143.5,230,133,21,21,0.82
604,240.5,143.5,230,133,21,21,0.819
605,240.5,143.5,230,133,21,21,0.819
606,240.5,143.5,230,133,21,21,0.818
607,240.5,143.5,230,133,21,21,0.818
608,240.5,143.5,230,133,21,21,0.818
609,240.5,143.5,230,133,21,21,0.818
610,240.5,143.5,230,133,21,21,0.817
611,240.5,143.5,230,133,21,21,0.818
612,240.5,143.5,230,133,21,21,0.823
613,240.5,143.5,230,133,21,21,0.823
614,240.5,143.5,230,133,21,21,0.824
615,240.5,143.5,230,133,21,21,0.825
616,240.5,143.5,230,133,21,21,0.824
617,240.5,143.5,230,133,21,21,0.824
618,240.5,143.5,230,133,21,21,0.824
619,240.5,143.5,230,133,21,21,0.824
620,240.5,143.5,230,133,21,21,0.824
621,240.5,143.5,230,133,21,21,0.825
622,240.5,143.5,230,133,21,21,0.824
623,240.5,143.5,230,133,21,21,0.825
624,240.5,143.5,230,133,21,21,0.825
625,240.5,143.5,230,133,21,21,0.825
626,240.5,143.5,230,133,21,21,0.826
627,240.5,143.5,230,133,21,21,0.826
628,240.5,143.5,230,133,21,21,0.826
629,240.5,143.5,230,133,21,21,0.827
630,240.5,143.5,230,133,21,21,0.821
